Posisi,Perusahaan,Lokasi,URL,Deskripsi
Strategic Planning Officer,PT Samindo Resources Tbk,Jakarta Selatan,https://id.jobstreet.com/id/job/82086695?type=standard&ref=search-standalone,"Job Descriptions:Develop and implement business plans and strategies to achieve company goals,Analyze Subsidiaries business performance and prepare regular reports for management,Conduct market research and competitive analysis to identify new opportunities,Support budgeting, forecasting, and financial planning processes,Collaborate with cross-functional team & Subsidiaries to execute strategic projects,Prepare business proposals, presentations, and management reportsAnother task assigned by superior.Requirements:Proficient in English (oral & written) is a must. Please do not apply if you're not fluent in English.Candidate must possess at least a Bachelor's Degree from reputable university,At least 3 years of experience in Strategic Planning, Business Planning, Corporate Secretary or similar role,Strong analytical thinking with proficiency in Microsoft office especially Excel and PowerPoint,Proficient in financial analysis and data interpretation,Ability to analyze market trends, identify patterns, and extract meaningful insights to inform decision-making and strategy development,Willing to travel domestic or international.Preferred Qualifications:Experience in Mining or Energy sectors,Skillful with Power BI or Business Intelligence tools such as Excel Automation,Programming ability such as Phyton, etc."
AI Specialist Product Manager,PT Sea Group,Indonesia,https://id.jobstreet.com/id/job/82090034?type=standard&ref=search-standalone,"Responsibilities:Drive end-to-end development of AI-related products and projects, from ideation, data analysis, design, development, testing, launch and iterations.Work closely with our research, design and development teams to translate AI-driven insights into practical solutions.Support day-to-day product management tasks and operations, including tracking project progress and gathering feedback.Take ownership of 1-2 major or minor AI projects, leading them from conceptualization to execution.Identify and explore AI-driven opportunities both internally and externally.Requirements:Strong initiative and passion for AI innovation.Bachelor's degree in Computer Science, Data Science, Engineering, Statistics or other quantitative fields.Strong analytical, problem-solving, and logical thinking skills.Excellent communication and teamwork skills.Fresh graduates are welcome to apply.Good To Have:Solid technical background with understanding and/or hands-on experience in software development and technologies.Proficient in project management tools, such as Jira and Figma.Basic knowledge of AI/machine learning concepts.Experience in AI-related learning, research, or project development."
Senior Data Scientist,Pengiklan Anonim,Jakarta Pusat,https://id.jobstreet.com/id/job/82084980?type=standard&ref=search-standalone,"Role Overview:As aData Scientist specializing in Credit Risk Modeling, you will play a pivotal role in developing and refining risk models for retail and SME financial products. Your expertise in data analysis, machine learning, and feature engineering will drive insights and innovation in credit risk management. This position involves working with massive datasets, evaluating third-party data sources, and continuously exploring new methodologies to enhance model performance. You’ll collaborate closely with cross-functional teams to deploy feature pipelines, analyze credit risk trends, and develop impactful data-driven solutions.Job Responsibilities:Develop risk models for retail and SME finance products, including consumer lending, multi-finance, credit cards, and SME financing.Perform feature engineering and analysis on large-scale datasets such as credit reports and e-commerce data, and deploy feature pipelines.Evaluate third-party data sources for their applicability and effectiveness in credit modeling.Research advanced methodologies and data mining techniques to enhance model performance.Continuously explore and unlock the potential value of data for credit modeling and data product development.Job Requirements:3-6 years of relevant experience in risk model development with a solid understanding of credit risk management.Proficiency in machine learning models (e.g., boosting trees, regression models) and strong coding skills in Python and SQL.Hands-on experience in data analysis and feature engineering.Fluency in English with excellent communication skills.A collaborative mindset with good team spirit.#LI-RA1"
GIS SPECIALIST,PT. Mitreka Solusi Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/82080122?type=standard&ref=search-standalone,"Kami sedang mencari GIS Specialist yang kompeten untuk bergabung dengan tim kami! Jika Anda memiliki keahlian dalam pemetaan digital, analisis geospasial, dan pengelolaan data spasial, ini adalah kesempatan yang tepat untuk Anda.Tanggung Jawab:Mengelola, menganalisis, dan memvisualisasikan data spasial menggunakan perangkat lunak GIS.Mengembangkan peta digital dan model geospasial untuk mendukung pengambilan keputusan.Berkolaborasi dengan tim lintas fungsi untuk menyediakan solusi berbasis GIS.Melakukan validasi dan pemeliharaan data geospasial agar tetap akurat dan terkini.Menerapkan teknologi GIS untuk optimasi proyek dan operasional perusahaan.Kualifikasi:Pendidikan minimal S1 di bidang Geografi, Geomatika, Teknik Geodesi, atau bidang terkait.Pengalaman minimal 2 tahun dalam bidang GIS.Menguasai perangkat lunak GIS seperti ArcGIS, QGIS, atau sejenisnya.Memahami konsep analisis spasial, pemrograman GIS (Python, SQL), serta basis data spasial.Mampu bekerja dalam tim serta memiliki keterampilan komunikasi yang baik.Keuntungan Bergabung dengan Kami:Lingkungan kerja yang dinamis dan inovatif.Kesempatan untuk berkembang dan belajar teknologi terbaru.Paket kompensasi dan benefit yang kompetitif.Tertarik untuk bergabung? Kirimkan CV dan portofolio Anda melalui [Jobstreet] . Kami menantikan Anda menjadi bagian dari tim kami!"
M-Ads (Mobile Advertising),PT XL Axiata Tbk,Kebayoran Lama,https://id.jobstreet.com/id/job/82089720?type=standard&ref=search-standalone,"Leveraging data and machine learning to drive strategic decisions, enhance business operations, and deliver actionable insights. Your expertise in data science and machine learning will play a crucial role in helping our organization harness the full potential of data-driven solutionsJob Accountabilities :Apply machine learning and data science techniques to analyze complex data sets and extract valuable insightsDevelop predictive models, algorithms, and data-driven solutions to solve business problems and enhance decision-makingCollaborate with cross-functional teams to identify opportunities for data-driven improvements across various business functionsDesign and implement data pipelines and automated processes for data collection, cleaning, and analysis.Utilize statistical analysis and data visualization tools to communicate findings and insights effectively.Stay updated on industry trends, emerging technologies, and best practices in machine learning and data scienceProvide guidance and support for data-driven decision-making at various organizational levelsMaintain data security and compliance with relevant regulations and policies.Responsible for understanding, implementing the requirements of the occupational safety and health management system and environmental management system in accordance with their respective duties and functions."
SEO Specialist,PT Armada Lintas Khatulistiwa,Yogyakarta,https://id.jobstreet.com/id/job/82078961?type=standard&ref=search-standalone,"Responsibilities:Conduct SEO and ASO strategy, including keyword research, competitor analysis, and content optimization.Collaborate closely with marketing, product, and engineering teams to ensure the implementation of SEO and ASO best practices across all platforms and channels.Develop and execute engaging and relevant content strategies to improve organic visibility and product search rankings.Conducted in-depth analysis of SEO and ASO performance data, identified opportunities for improvement, and provided actionable recommendations.Monitor the latest industry trends and algorithms to ensure SEO and ASO strategies are always up-to-date and effective.Experiment with different SEO and ASO tactics and techniques to find the best approach for your product.Provide regular reports on SEO and ASO performance, including key metrics such as keyword rankings, organic traffic, and conversions.Actively participate in team discussions and provide insights on SEO and ASO.Requirements:The minimum education is a bachelor's degree from all majors.Minimum 2-3 years of experience as an SEO specialist.Experience in conducting keyword research, competitor analysis, content optimization, link building, and ASO strategies.Experience with SEO and ASO tools, such as Google Analytics, Google Search Console, App Annie, Sensor Tower, or other similar tools.Able to do creative writing and optimizing content.Willing to be placed in Yogyakarta"
Data Analyst,PT Armada Lintas Khatulistiwa,Jakarta Selatan,https://id.jobstreet.com/id/job/82078686?type=standard&ref=search-standalone,"Responsibilities:Analyze data to identify trends, patterns, and insights that inform operational improvements and sales strategies.Ensure timely delivery of customer orders through data analysis and operational optimization.Create compelling dashboards, reports, and data visualizations to communicate findings to stakeholders effectively.Manage and maintain the company's product including database maintenance and user access control.Utilize tools such as Excel/Google Sheets, SQL, Python, and BI Platforms (Looker, Tableau) to automate and enhance analysis.Requirements:Bachelor's degree in Computer Science, Data Science, or a related field (fresh graduates are welcome to apply).Strong data management, cleaning, and visualization skills.Proficiency in Excel/Google Sheets, SQL, and at least one BI platform.Excellent analytical and problem-solving skills.Ability to work effectively both independently and collaboratively within cross-functional teams.Experience managing and maintaining databases and user access is highly desirable.Strong communication and presentation skills.Experience with Python for data analysis is a plus."
Data Analytic (Project Based),PT. BNI Life Insurance,Jakarta Selatan,https://id.jobstreet.com/id/job/82079988?type=standard&ref=search-standalone,"Job DescriptionPengumpulan DataMengakses, membersihkan, dan mengintegrasikan data dari berbagai sumber.Menjamin kualitas, konsistensi, dan keamanan data yang digunakan.Analisis DataMelakukan analisis statistik dan data mining untuk mengidentifikasi pola dan tren.Menyusun laporan yang berfokus pada insight bisnis dan rekomendasi.Pengelolaan Infrastruktur DataMengelola pipeline data menggunakan Kubernetes untuk memastikan efisiensi dan skalabilitas.Memantau dan mengoptimalkan performa cluster Kubernetes.Pengembangan Model PrediktifMenggunakan TensorFlow untuk membangun dan melatih model machine learning.Mengimplementasikan logika bisnis menggunakan Golang untuk mendukung pengolahan data atau integrasi model.Kolaborasi Antar TimBekerja sama dengan tim teknis untuk memahami kebutuhan infrastruktur.Berkomunikasi dengan stakeholder untuk menyelaraskan analisis data dengan kebutuhan bisnis.QualificationGelar Sarjana di bidang Statistik, Ilmu Komputer, Teknik Informatika, atau jurusan terkait.Pengalaman kerja minimal 3 tahun di bidang analisis data atau pengembangan teknologi.Pengalaman dalam pengelolaan cluster Kubernetes.Pengetahuan mendalam tentang Golang untuk aplikasi skala besar.Pemahaman teknis tentang framework TensorFlow.Technical SkillsMahir menggunakan alat visualisasi data seperti Tableau, Power BI, atau lainnya.Pengalaman dengan database SQL/NoSQL (misalnya, PostgreSQL, MongoDB).Kemampuan scripting dengan Python atau R.Pengetahuan tentang platform cloud (misalnya, AWS, Google Cloud, atau Azure)."
Management Trainee Credit Analyst – Branch Tenggarong,"PT. BFI FINANCE INDONESIA, Tbk",Kalimantan Timur,https://id.jobstreet.com/id/job/82079893?type=standard&ref=search-standalone,"Job Description :Melakukan fungsi compliance prior to approval car product (struktur pembiayaan dan dokumen) dan melakukan analisa kelayakanMelakukan verifikasi by phone/ cross checking atas hasil survey marketingMemberikan training mengenai kemampuan analisa 1P+5C serta awareness mengenai resiko yang terjadi terhadap cabang bagi marketing cabang.Memberikan analisa kredit terhadap hasil analisa kelayakan dan memberikan persetujuan atas transaksi guna melaksanakan penilaian kreditMelakukan update harga kendaraan fast moving cabang untuk produk mobil dan mengeluarkan price list mobil per triwulan,Melakukan monitoring dan laporan portfolio cabangMelakukan monitoring terhadap FID PredictionMelakukan update mengenai local knowledge dan local industry yang berguna bagi analisa kelayakan konsumen serta dapat dijadikan sebagai masukan dalam penyusunan strategi dalam menjaga portfolio cabang khususnya pada segmen industri Corporate.Melakukan kontrol terhadap risk rank cabang, memberikan mitigasi, plan kerja serta perbaikan cabang guna meminimalisir terjadinya freeze cabang.Kualifikasi:Usia maksimal 27 TahunMemiliki SIM A/ dan C aktifPendidikan minimal S1 Jurusan Ekonomi, Statistik, MIPAIPK minimal 2,80Pengalaman bekerja 1 tahunBersedia di tempatkan di Tenggarong"
CRM & Loyalty Program Supervisor,PT LUCKY MOM INDONESIA,Jakarta Utara,https://id.jobstreet.com/id/job/82079239?type=standard&ref=search-standalone,"Requirements:Bachelor’s degree in Marketing, Business, or related field; Master’s preferred.3-5 years of CRM or marketing experience in FMCG or similar industries.Proven ability to develop and implement CRM strategies for customer acquisition, retention, and engagement.Skilled in analyzing customer data to identify trends and opportunities for targeted campaigns.Expertise in planning and executing multi-channel CRM campaigns (email, SMS, social media, etc.).Experience aligning campaigns with brand guidelines and collaborating with creative teams.Proficient in using CRM tools to analyze customer behavior, purchase patterns, and feedback.Strong analytical skills to generate actionable insights and improve customer experience.Ability to troubleshoot and enhance CRM functionalities with IT teams.Experience leading and mentoring CRM teams, setting KPIs, and monitoring performance.Experience designing and managing loyalty programs to boost retention.Skilled in creating reports on CRM metrics (e.g., CLV, retention rates, ROI).Strong project management, organizational, and problem-solving skills.Customer-focused, adaptable, and results-driven mindset.Understanding of FMCG industry dynamics and customer behavior trends.Responsibilities:1. CRM Strategy Development and Implementation:- Develop and execute CRM strategies to achieve customer acquisition, retention, and engagement goals.- Analyze customer data to identify trends, preferences, and opportunities for targeted campaigns.2. Campaign Management:- Plan, execute, and monitor CRM campaigns across various channels (email, SMS, app notifications, social media, etc.).- Coordinate with creative teams to ensure campaigns align with brand guidelines.3. Customer Insights and Analysis:- Utilize CRM tools to analyze customer behaviors, purchase patterns, and feedback.- Generate actionable insights to improve the customer experience.4. CRM Tools and Database Management:- Maintain and optimize the CRM system to ensure data accuracy and usability.- Work with IT teams to troubleshoot and enhance CRM functionalities.5. Collaboration and Cross-functional Coordination:- Collaborate with sales, marketing, and customer service teams to align CRM activities with broader business objectives.- Act as a liaison between departments to ensure consistent customer communication.6. Team Leadership and Supervision:- Train and supervise a team of CRM specialists or coordinators.- Set clear goals and KPIs for team members and monitor performance.7. Customer Retention and Loyalty Programs:- Design and manage loyalty programs to enhance customer retention.- Monitor program performance and suggest improvements.8. Reporting and Performance Tracking:- Develop regular reports on CRM performance metrics such as customer lifetime value (CLV), retention rates, and campaign ROI.- Present findings and recommendations to senior management."
Head of Data Engineer,PT Solusi Pembayaran Elektronik,Tangerang,https://id.jobstreet.com/id/job/82077694?type=standard&ref=search-standalone,"Key Responsibilities:Translate business needs into clear and actionable technical requirements.Lead and manage the Data Engineering team to develop data Pipelines aligned with business needs.Ensure seamless ETL processes to support the company’s analytics requirements.Oversee the management and maintenance of data infrastructure.Collaborate with other departments to ensure data needs are met effectively.Requirements:Mush to HaveMinimum D3/S1 degree in Information Technology (IT).At Least5–8 yearsof experience in buildingScalable Data Architectures, managing dataPipelines and ETLprocesses, and leading teams to implement efficient, impactful data solutions.Data Architecture: Expertise in designing complex data architectures, including Data Lakes, data warehouses, and data marts.Data Pipeline Development (ETL/ELT):Proficiency with ETL/ELT tools like Apache Airflow, Talend, dbt, or Spark.Database Management and Query Optimization: Strong skills in managing and optimizing relational (SQL) and non-relational (NoSQL) databases, such as MySQL, PostgreSQL, MongoDB, and ClickHouse.Advanced proficiency inPython, Scala, or Javafor managing data Pipelines.Streaming Data Technologies: Hands-on experience with tools like Kafka, Flink, and Debezium for real-time data processing.Nice to HaveStrong leadership skills to guide a technical team and provide strategic direction.Ability to convey technical information to non-technical stakeholders.Problem-solving capabilities to address data pipeline issues with effective solutions.Collaboration with business, infrastructure, and analytics teams.Strong time management to prioritize tasks and meet deadlines.Adaptability to learn new technologies and respond to evolving business needs."
Stakeholder Relation Data Analyst Specialist,Pengiklan Anonim,Jakarta Raya,https://id.jobstreet.com/id/job/82075233?type=standard&ref=search-standalone,"Deskripsi Pekerjaan:Melakukan pengumpulan data tentang karakteristik konsumen, pola perilaku konsumen, strategi kompetitor, dan situasi eksternal serta menggabungkan informasi menjadi pengetahuan, insight, laporan, dan presentasi yang dapat ditindaklanjuti oleh unit kerja yang terdapat di perusahaan.Memahami tujuan bisnis dan merancang survei untuk mendorong peningkatan layanan baik bagi pengguna jasa eksisting maupun pengguna jasa potensial.Menyusun dan menganalisis data secara statistik atau metodologi empiris yang diterima secara umum.Membangun hubungan yang lebih dalam dan meningkatkan pengalaman pelanggan selama menggunakan produk dan memberikan rekomendasi atas pelayanan dengan proses bisnis yang lebih efektif terhadap pelanggan.Kualifikasi:Diutamakan sarjana dari jurusan marketing, statistika, psikologi, atau setaraDiutamakan memiliki pengalaman kerja minimal 3 tahun di bidang Customer Research/market researchDiutamakan menikmati pekerjaan yang erat dengan data kuantitatif.Diutamakan memiliki pengalaman kerja di bidang product research and development"
Bancassurance Consultant (Balikpapan),MSIG Life Insurance Indonesia Tbk,Balikpapan Kota,https://id.jobstreet.com/id/job/82073004?type=standard&ref=search-standalone,"Deskripsi Pekerjaan :Menjalin dan menjaga hubungan bisnis yang baik dengan nasabah bank rekanan dalam memberikan konsultasi perencanaan perlindungan serta tujuan finansial nasabah.Menciptakan hubungan yang produktif, bersinergi, dan efektif dengan seluruh pihak bank rekanan terkaitMemastikan seluruh proses bisnis berjalan sesuai dengan prosedur standar perusahaanMemenuhi performa kerja yang sudah ditargetkan perusahaanKualifikasi:Usia minimal 23 tahunPendidikan minimal Diploma 3Memiliki pengalaman minimal 1-2 tahun sebagai sales marketing dalam industri asuransi atau perbankanMemiliki kepribadian yang baikMemiliki motivasi kerja yang tinggiMemiliki orientasi pada target dan berambisi untuk memenuhi targetPenempatan: Balikpapan"
Data Delivery Lead - Indonesia,Avanade Malaysia Sdn Bhd,Jakarta Raya,https://id.jobstreet.com/id/job/82071866?type=standard&ref=search-standalone,"Responsible for ensuring successful delivery of projects, focusing on schedule, budget, customer satisfaction, and quality. This role emphasizes Delivery Management, supporting sales, planning, execution, and closure of projects.Come join usAs a Delivery Lead, you will manage project issues and risks, balance scope, schedule, budget, and quality, and develop detailed project work plans. You'll ensure accurate requirement development, manage client expectations, and develop customer relationships. Engage and manage onshore, offshore, and nearshore workforces, and assist in the sales process. Together we do what matters.What you will do:Ensure successful project delivery by managing schedule, budget, and customer satisfactionActively support sales and estimate work effort and expensesPlan, mobilize, execute, and close projects successfullyCommunicate status regularly, manage risks, and monitor financial performanceDevelop and maintain detailed project work plans and governance structureSkills and experiencesDemonstrated ability to think and work systematically and logicallyGood understanding of contract terms and interpretationExperience in customer expectations managementDemonstrated experience employing project management methods, tools, techniquesGood client interface and presentation skillsTime management skillsGood people management skills, including ability to lead a team and mentor individuals in career growthAbout youCharacteristics that demonstrate success for this role:Analytical, curious, agileTeam player and good communicatorProblem-solver, patient and quality-drivenSelf-motivatingInnovative mindsetEnjoy your careerSome of the best things about working at Avanade:Opportunity to work for Microsoft’s Global Alliance Partner of the Year (14 years in a row), with exceptional development and training (minimum 80 hours per year for training and paid certifications)Real-time access to technical and skilled resources globallyDedicated career advisor to encourage your growthEngaged and helpful coworkers genuinely interested in youFind out more about some of our benefitsEmployee Benefits at Avanade | AvanadeA great place to workAs you bring your skills and abilities to Avanade, you’ll get distinctive experiences, limitless learning, and ambitious growth in return. As we continue to build our diverse and inclusive culture, we become even more innovative and creative, helping us better serve our clients and communities. You’ll join a community of smart, supportive collaborators to lift, mentor, and guide you, and to lean on your expertise. You get a company purpose-built for business-critical, leading-edge technology solutions, committed to improving the way humans work, interact, and live. It’s all here, so take a closer look!We work hard to provide an inclusive, diverse culture with a deep sense of belonging for all our employees. Visit ourInclusion & Diversity pageCreate a future for our people that focuses on: • Expanding your thinking • Experimenting courageously • Learning and pivotingInspire greatness in our people by: • Empowering every voice • Encouraging boldness • Celebrating progressAccelerate the impact of our people by: • Amazing the client • Prioritizing what matters • Acting as oneLearn moreTo learn more about Avanade check out these links:LinkedInInside Avanade BlogAvanade Careers"
Internship Data Analyst,"PT. Sreeya Sewu Indonesia, Tbk",Jakarta Selatan,https://id.jobstreet.com/id/job/82071113?type=standard&ref=search-standalone,"INTERNSHIP OPPORTUNITYPosition: Internship Project StatiscticLocation: SCBD (HYbrid)Eligibility: Open for Final-Year Students Currently Writing ThesisWe Offer:Hands-on experience in project-based tasks.Flexible working hours to accommodate your thesis schedule.Opportunity to enhance your technical and soft skills.Professional guidance and mentorship.Qualifications:Final-year undergraduate student currently working on a thesis.Proactive, detail-oriented, and willing to learn.Able to work both independently and in a team.Proficient in Microsoft ExcelDuration: 3 months"
Oracle Database Administrator,PT. Amalura Multi Dimensi,Jakarta Raya,https://id.jobstreet.com/id/job/82069567?type=standard&ref=search-standalone,"Requirement:Bachelor's degree in Computer Science, Information Technology, or a related field.3+ years of experience in Oracle Database Administration or related field.Strong understanding of database concepts, including SQL, relational databases, and data modelling.Ready to join March 2025Wiling to sign 6-month contract and work onsite at client Office Jakarta (Banking)Experience with Oracle database administration and the architecture such as Oracle RAC, Golden Gate, Active Data Guard.Excellent problem-solving and analytical skills.Ability to lead and manage complex projects.Strong communication and interpersonal skills.Ability to manage multiple tasks and prioritize effectively."
AI Specialist – Prompt Engineering and Platform Integration,Proper Assistant,Bali,https://id.jobstreet.com/id/job/82066867?type=standard&ref=search-standalone,"Job Title: AI Specialist – Prompt Engineering and Platform IntegrationLocation: RemoteCompany Overview: Proper Assistant empowers clients with tailored AI solutions, ensuring they stay ahead in technological innovation.Position Overview: We seek an AI Specialist passionate about exploring AI platforms like ChatGPT, Gemini, Claude, Perplexity, Grok, Humanta, and DeepSeek. The role involves crafting effective prompts and protocols to meet client needs, selecting the best AI tools, and staying updated on platform features. While not the primary focus, experience in web development and the ability to create or modify client websites is a valuable asset.Key Responsibilities:Develop and refine prompts to optimize AI platform performance for client-specific tasks.Assess client requirements to recommend and implement suitable AI tools.Stay informed about updates and best practices across various AI services.Test AI tools using company subscriptions to evaluate capabilities.Train clients for effective AI tool integration and usage.Occasionally assist in creating or updating client websites to integrate AI solutions.Qualifications:Bachelor’s or Master’s degree in Computer Science, AI, Data Science, or related field.Experience in prompt engineering and familiarity with multiple AI platforms.Ability to quickly learn and adapt to new AI tools.Strong analytical and problem-solving skills.Excellent written english communication for conveying complex AI concepts.Proficiency in web development technologies (e.g., HTML, CSS, JavaScript) is a plus.Preferred Skills:Proficiency in programming languages like Python or R.Experience with machine learning frameworks and libraries.Knowledge of data analysis and visualization techniques.Understanding of ethical considerations in AI deployment.What We Offer:Access to a variety of AI platforms and tools for exploration.Opportunities for professional development in the AI field.A collaborative and innovative work environment.Application Process: Submit your resume, a cover letter detailing your experience with AI platforms, and examples of prompts or protocols you've developed."
Credit Inspection & Valuation Specialist - JABAR - Bandung O822,PT CIMB Niaga Tbk,Bandung,https://id.jobstreet.com/id/job/82064333?type=standard&ref=search-standalone,"Job Purpose/Job DescriptionInternal AppraisalBertanggung jawab untuk proses penilaian jaminan yang diberikan oleh debitur atau calon debitur sebagai bagian dalam proses pemberian kredit khususnya unutk segment Non Retail.Melakukan penilaian jaminan dengan metode yang sesuai sehingga dapat menghasilkan nilai wajar atas penilaian yang dilakukan.Memberikan fakta yang sebenarnya (aktual) pada setiap laporan yang dikeluarkan, atas kondisi jaminan saat melakukan kunjungan baik pada proses penilaian jaminan, field investigation, merchandaise inspection dan/atau merchandiase appraisal, pemeriksan End UserGeneralBertanggung jawab untuk melakukan eskalasi dimana ditemukan kejanggalan atau masalah yang tidak dapat diselesaikan secara tepat waktu dan sesegera mungkin.Melalukan proses penilaian jaminan sesuai dengan Service Level Agreement yang telah disepakati.Melakukan komunikasi yang baik serta responsive dengan business unit/pemohon penilaian jaminan sebagai internal customer atas seluruh concern atau pertanyaan yang diajukan.Menciptakan lingkungan kerja yang baik dengan sesama 1 team maupun dengan unit kerja lain sehingga dapat terjalin kerjasama dan komunikasi yang baik guna mendukung proses kerja yang dilakukan.Dalam pelaksanaan tugasnya senantiasa menerapkan prinsip kehati-hatian dan bertindak sebagai risk manager atas seluruh aspek operasional yang menjadi tanggung jawabnya serta senantiasa berkoordinasi dengan internal customer guna memperoleh umpan balik positif dan perbaikan proses yang berkelanjutanRegulatory ComplianceMenerima dan memberikan masukan, mengevaluasi, menganalisa serta membuat rencana pelaksanaan perbaikan yang berkesinambungan guna mencapai kinerja yang optimal, konsisten dengan resiko yang minimal.Bersinergi dengan group terkait untuk mencegah terjadinya kesalahan proses terkait kredit (melindungi asset) dan Resiko Operasional.Qualifications : Bachelor Degree (S1)Professional Qualification : Sertifikasi Penilai minimal PDP2Banking knowledge will be a point plusGood ploblem solving attitude, self motivated, fast learner, teamworker, and able to work in fast paced environment with deadlines"
"Analyst, Product",PT Visai Indonesia,Jakarta Raya,https://id.jobstreet.com/id/job/82063159?type=standard&ref=search-standalone,"Company DescriptionVisa is a world leader in payments and technology, with over 259 billion payments transactions flowing safely between consumers, merchants, financial institutions, and government entities in more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable, and secure payments network, enabling individuals, businesses, and economies to thrive while driven by a common purpose – to uplift everyone, everywhere by being the best way to pay and be paid.Make an impact with a purpose-driven industry leader. Join us today and experience Life at Visa.Job DescriptionTeam SummaryThe Indonesia team comprises of a highly motivated, passionate, business-driven bunch of problem solvers who create impactful experiences for our clients. Here at Visa, we strive to excel with our partners and via strong collaboration, we look to enable and inspire all players in the ecosystem to bring the best payment experience to end users. If you are business savvy with financial payment industry experience and have the technical background necessary to help further establish Visa as a leading payments solutions partner in Indonesia, you should apply.The RoleThe in-country Product Analyst will report to the Consumer Products and Solutions Leader, Indonesia, Director, to drive affluent, cross-border, contactless, e-commerce penetration and overall portfolio activation, as well as support the implementation of consumer product solutions in the country. The position holder is also responsible for supporting data analytics and reporting to grow key performance indicators such as card payments volume, total volume, market share, PCE penetration, international usage, Opex management, and net revenue targets. The Product Analyst will engage with merchants and third-party partners to create various programs and will engage with all internal stakeholders to ensure focus on target achievements. Additionally, the Product Analyst will work closely with clients in driving programs and implementing product solutions.Responsibilities:Utilize Visa’s huge data source to provide insights for the country team to monitor the progress achievements of Product goals, as well as Country scorecardsGrow affluent, cross-border, contactless, and e-commerce penetration and improve overall portfolio activation through crafting relevant activation programs with market players and selected clientsDrive penetration by providing insights through data analytics and monitoring to ensure all internal stakeholders are on the right execution trackEnsure the usage of product Opex budget is aligned with product and country initiatives with proper governance over the process, ensuring that the programs are run on time and within the approved budgetCollaborate with the Product & Solution Leader to provide comprehensive support for client implementation, including coordinating with various teams, ensuring alignment with client requirements, and facilitating smooth execution of product solutionsCollaborate with internal product and marketing teams at both the country and regional levels to curate relevant affluent and cross-border campaigns, including the development of customized client benefitsDraft contracts, work statements, and other documents to ensure proper governanceCollaborate with the Marketing and Corporate Communication teams to promote Indonesia's consumer benefit platform, which can be utilized by Visa’s clients to enhance their offerings and drive market awarenessQualificationsWhat you will need:• Minimum 5 years of relevant product development and/or management experience in Retail Banking, Consumer Financial Services, Cards payment or fintech• Experience working in a fast-paced environment and prior experience at Visa or the payments industry is a plus• Ability to work with various data (including financial) and drive actionable initiatives• Ability to negotiate with third parties to create value for customers' benefit• Self-motivated, self-starter, and highly driven• Vision and passion for our business, with high energy and intelligence• Hands-on, entrepreneurial and nimble, while also able to navigate a globally matrixed environment• Ability to work within a complex and often ambiguous environment, and to influence higher management and other relevant partiesWhat will also help:• Strong analytical skills• Strong negotiating skills• Presentation skills• Good understanding of Visa Products and services is a plus• Ability to work in a matrix organization environment• Entrepreneurial with ability to demonstrate initiativeAdditional InformationVisa is an EEO Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status. Visa will also consider for employment qualified applicants with criminal histories in a manner consistent with EEOC guidelines and applicable local law."
Technical Consultant Analyst,Mitra Integrasi Informatika,Jakarta Raya,https://id.jobstreet.com/id/job/82063001?type=standard&ref=search-standalone,"Career Opportunities: Technical Consultant Analyst (38470)Requisition ID38470- Posted02/13/2025-Administration-DKI Jakarta-Staff (Mid - Senior)- Country (1) - Region (1)Apply
 
 
 
 
 
 
 
 
 
 
 
 
 
 Save Job
 
 
 
 
 
 
 
 
 Email Job to Friend
 
 
 
 
 
 
 
 
 Return to ListJob DescriptionsDUKUNGAN PRA PENJUALANIkut serta mengevaluasi, mengidentifikasi, serta memberikan rekomendasi, dalam hal memberikan solusi dan konsultasi yang sesuai dengan kebutuhan pelanggan.RENCANA IMPLEMENTASIMembantu menyusun rencana implementasi solusi dan konsultasi yang diwakilinyaMelaksanakan dan memonitor proses implementasi yang menjadi lingkup tanggung jawabnya.DUKUNGAN PURNA JUALMengadakan kontak langsung dengan pelanggan untuk memberikan pemecahan terhadap permasalahan sederhana yang muncul setelah implementasi berjalan,sekaligus meneliti kemungkinan pengembangan solusi baru.FASILITATOR PELATIHANMenjadi faslitator, membantu rekan yang lebih senior dalam pelatihan bagi pelanggan dalam mempelajari dan memahami solusi yang diimplementasikan.PENGEMBANGAN PROFESIMemelihara dan mengembangkan pengetahuan dan ketrampilan dalam area spesialisasi yang menjadi area tanggung jawabnya.Job RequirementsSarjana S-1, jurusan terkait Teknologi InformasiLulusan baru - 2 tahun pengalaman kerjaMemiliki pengetahuan dasar pada area solusi dan konsultasi ITPengetahuan kebutuhan pelanggan berdasarkan trend pasar / industri.CompetenciesTEAM ORIENTATIONIMPACT & INFLUENCERESPONSIVE TO CUSTOMERS/ OTHER PARTIESDRIVEANALYTICAL THINKINGSELF CONTROL & CONFIDENCEApply
 
 
 
 
 
 
 
 
 
 
 
 
 
 Save Job
 
 
 
 
 
 
 
 
 Email Job to Friend
 
 
 
 
 
 
 
 
 Return to List
 
 The job has been sent toJob title:"
